ID,Target
ID_6L67PAA x m1,0.0
ID_6L67PAA x m2,0.0
ID_6L67PAA x m3,0.0
ID_6L67PAA x m4,0.0
ID_6L67PAA x m5,0.0
ID_6L67PAA x m6,0.0
ID_VJ80SX2 x m1,0.0
ID_VJ80SX2 x m2,0.0
ID_VJ80SX2 x m3,0.0
ID_VJ80SX2 x m4,0.0
ID_VJ80SX2 x m5,0.0
ID_VJ80SX2 x m6,0.0
ID_7OU9HLK x m1,0.0
ID_7OU9HLK x m2,0.0
ID_7OU9HLK x m3,0.0
ID_7OU9HLK x m4,0.0
ID_7OU9HLK x m5,0.0
ID_7OU9HLK x m6,0.0
ID_WVWTPGK x m1,0.0
ID_WVWTPGK x m2,0.0
ID_WVWTPGK x m3,0.0
ID_WVWTPGK x m4,0.0
ID_WVWTPGK x m5,0.0
ID_WVWTPGK x m6,0.0
ID_04DSDQS x m1,0.0
ID_04DSDQS x m2,0.0
ID_04DSDQS x m3,0.0
ID_04DSDQS x m4,0.0
ID_04DSDQS x m5,0.0
ID_04DSDQS x m6,0.0
ID_4BNXJX1 x m1,0.0
ID_4BNXJX1 x m2,0.0
ID_4BNXJX1 x m3,0.0
ID_4BNXJX1 x m4,0.0
ID_4BNXJX1 x m5,0.0
ID_4BNXJX1 x m6,0.0
ID_6YZEOBD x m1,0.0
ID_6YZEOBD x m2,0.0
ID_6YZEOBD x m3,0.0
ID_6YZEOBD x m4,0.0
ID_6YZEOBD x m5,0.0
ID_6YZEOBD x m6,0.0
ID_7AKUMTZ x m1,0.0
ID_7AKUMTZ x m2,0.0
ID_7AKUMTZ x m3,0.0
ID_7AKUMTZ x m4,0.0
ID_7AKUMTZ x m5,0.0
ID_7AKUMTZ x m6,0.0
ID_22PA8JG x m1,0.0
ID_22PA8JG x m2,0.0
ID_22PA8JG x m3,0.0
ID_22PA8JG x m4,0.0
ID_22PA8JG x m5,0.0
ID_22PA8JG x m6,0.0
ID_TM3XAXK x m1,0.0
ID_TM3XAXK x m2,0.0
ID_TM3XAXK x m3,0.0
ID_TM3XAXK x m4,0.0
ID_TM3XAXK x m5,0.0
ID_TM3XAXK x m6,0.0
ID_ZLW8XIB x m1,0.0
ID_ZLW8XIB x m2,0.0
ID_ZLW8XIB x m3,0.0
ID_ZLW8XIB x m4,0.0
ID_ZLW8XIB x m5,0.0
ID_ZLW8XIB x m6,0.0
ID_1BNGN87 x m1,0.0
ID_1BNGN87 x m2,0.0
ID_1BNGN87 x m3,0.0
ID_1BNGN87 x m4,0.0
ID_1BNGN87 x m5,0.0
ID_1BNGN87 x m6,0.0
ID_Q3HMVET x m1,0.0
ID_Q3HMVET x m2,0.0
ID_Q3HMVET x m3,0.0
ID_Q3HMVET x m4,0.0
ID_Q3HMVET x m5,0.0
ID_Q3HMVET x m6,0.0
ID_6NI55NC x m1,0.0
ID_6NI55NC x m2,0.0
ID_6NI55NC x m3,0.0
ID_6NI55NC x m4,0.0
ID_6NI55NC x m5,0.0
ID_6NI55NC x m6,0.0
ID_DQ0DH6B x m1,0.0
ID_DQ0DH6B x m2,0.0
ID_DQ0DH6B x m3,0.0
ID_DQ0DH6B x m4,0.0
ID_DQ0DH6B x m5,0.0
ID_DQ0DH6B x m6,0.0
ID_O25689X x m1,0.0
ID_O25689X x m2,0.0
ID_O25689X x m3,0.0
ID_O25689X x m4,0.0
ID_O25689X x m5,0.0
ID_O25689X x m6,0.0
ID_36O2OB3 x m1,0.0
ID_36O2OB3 x m2,0.0
ID_36O2OB3 x m3,0.0
ID_36O2OB3 x m4,0.0
ID_36O2OB3 x m5,0.0
ID_36O2OB3 x m6,0.0
ID_OGPN17A x m1,0.0
ID_OGPN17A x m2,0.0
ID_OGPN17A x m3,0.0
ID_OGPN17A x m4,0.0
ID_OGPN17A x m5,0.0
ID_OGPN17A x m6,0.0
ID_ZTUW0C5 x m1,0.0
ID_ZTUW0C5 x m2,0.0
ID_ZTUW0C5 x m3,0.0
ID_ZTUW0C5 x m4,0.0
ID_ZTUW0C5 x m5,0.0
ID_ZTUW0C5 x m6,0.0
ID_4Q7KSVX x m1,0.0
ID_4Q7KSVX x m2,0.0
ID_4Q7KSVX x m3,0.0
ID_4Q7KSVX x m4,0.0
ID_4Q7KSVX x m5,0.0
ID_4Q7KSVX x m6,0.0
ID_F5UIJTT x m1,0.0
ID_F5UIJTT x m2,0.0
ID_F5UIJTT x m3,0.0
ID_F5UIJTT x m4,0.0
ID_F5UIJTT x m5,0.0
ID_F5UIJTT x m6,0.0
ID_16G4N9X x m1,0.0
ID_16G4N9X x m2,0.0
ID_16G4N9X x m3,0.0
ID_16G4N9X x m4,0.0
ID_16G4N9X x m5,0.0
ID_16G4N9X x m6,0.0
ID_DPTU9YK x m1,0.0
ID_DPTU9YK x m2,0.0
ID_DPTU9YK x m3,0.0
ID_DPTU9YK x m4,0.0
ID_DPTU9YK x m5,0.0
ID_DPTU9YK x m6,0.0
ID_BNYM56N x m1,0.0
ID_BNYM56N x m2,0.0
ID_BNYM56N x m3,0.0
ID_BNYM56N x m4,0.0
ID_BNYM56N x m5,0.0
ID_BNYM56N x m6,0.0
ID_K1YSI7Y x m1,0.0
ID_K1YSI7Y x m2,0.0
ID_K1YSI7Y x m3,0.0
ID_K1YSI7Y x m4,0.0
ID_K1YSI7Y x m5,0.0
ID_K1YSI7Y x m6,0.0
ID_DIAFK3H x m1,0.0
ID_DIAFK3H x m2,0.0
ID_DIAFK3H x m3,0.0
ID_DIAFK3H x m4,0.0
ID_DIAFK3H x m5,0.0
ID_DIAFK3H x m6,0.0
ID_4DEUHL6 x m1,0.0
ID_4DEUHL6 x m2,0.0
ID_4DEUHL6 x m3,0.0
ID_4DEUHL6 x m4,0.0
ID_4DEUHL6 x m5,0.0
ID_4DEUHL6 x m6,0.0
ID_KFRKAVC x m1,0.0
ID_KFRKAVC x m2,0.0
ID_KFRKAVC x m3,0.0
ID_KFRKAVC x m4,0.0
ID_KFRKAVC x m5,0.0
ID_KFRKAVC x m6,0.0
ID_UOT1MF3 x m1,0.0
ID_UOT1MF3 x m2,0.0
ID_UOT1MF3 x m3,0.0
ID_UOT1MF3 x m4,0.0
ID_UOT1MF3 x m5,0.0
ID_UOT1MF3 x m6,0.0
ID_3LL2DY5 x m1,0.0
ID_3LL2DY5 x m2,0.0
ID_3LL2DY5 x m3,0.0
ID_3LL2DY5 x m4,0.0
ID_3LL2DY5 x m5,0.0
ID_3LL2DY5 x m6,0.0
ID_F95K9HA x m1,0.0
ID_F95K9HA x m2,0.0
ID_F95K9HA x m3,0.0
ID_F95K9HA x m4,0.0
ID_F95K9HA x m5,0.0
ID_F95K9HA x m6,0.0
ID_F0XZ25Q x m1,0.0
ID_F0XZ25Q x m2,0.0
ID_F0XZ25Q x m3,0.0
ID_F0XZ25Q x m4,0.0
ID_F0XZ25Q x m5,0.0
ID_F0XZ25Q x m6,0.0
ID_0U9QWZ8 x m1,0.0
ID_0U9QWZ8 x m2,0.0
ID_0U9QWZ8 x m3,0.0
ID_0U9QWZ8 x m4,0.0
ID_0U9QWZ8 x m5,0.0
ID_0U9QWZ8 x m6,0.0
ID_96P10ZQ x m1,0.0
ID_96P10ZQ x m2,0.0
ID_96P10ZQ x m3,0.0
ID_96P10ZQ x m4,0.0
ID_96P10ZQ x m5,0.0
ID_96P10ZQ x m6,0.0
ID_DQKOLGV x m1,0.0
ID_DQKOLGV x m2,0.0
ID_DQKOLGV x m3,0.0
ID_DQKOLGV x m4,0.0
ID_DQKOLGV x m5,0.0
ID_DQKOLGV x m6,0.0
ID_3CKJLY2 x m1,0.0
ID_3CKJLY2 x m2,0.0
ID_3CKJLY2 x m3,0.0
ID_3CKJLY2 x m4,0.0
ID_3CKJLY2 x m5,0.0
